text,xmin,ymin,xmax,ymax
TX,65.97382426261902,24.79337900876999,68.24811715632677,25.800375640392303
72090,68.78658533096313,24.79552924633026,74.0592859685421,25.810128450393677
Tax,8.463511615991592,27.86833941936493,11.563093960285187,28.854594100266695
Id:,12.148230522871017,27.84293293952942,14.118319004774094,28.858595713973045
930-79-7845,14.750854671001434,27.844402194023132,25.502603501081467,28.87191092595458
Tax,50.37313103675842,27.856719493865967,53.46610024571419,28.856677003204823
Id:,54.054903984069824,27.83198058605194,56.03666268289089,28.884893748909235
957-82-7504,56.66404366493225,27.851882576942444,67.48078539967537,28.866934217512608
IBAN:,8.650428801774979,29.399538040161133,12.885402888059616,30.37626575678587
GB85XPMM58300597200061,13.678167760372162,29.353532195091248,38.13250511884689,30.38091380149126
ITEMS,8.122163265943527,32.59347975254059,14.940817654132843,33.773072715848684
No.,9.660271555185318,36.225637793540955,12.1278315782547,37.07556230947375
Description,14.51846957206726,36.19602620601654,23.139294981956482,37.254187278449535
Qty,41.11812710762024,36.227408051490784,43.80388278514147,37.29262053966522
UM,47.131115198135376,36.23213768005371,49.44468550384045,37.065035570412874
Net,54.508352279663086,36.22581660747528,57.155852764844894,37.07404285669327
price,57.611167430877686,36.21360957622528,61.38206981122494,37.26235795766115
Net,64.09502625465393,36.22352480888367,66.76121391355991,37.071830965578556
worth,67.15553402900696,36.21189296245575,71.60398997366428,37.08015847951174
VAT,74.35169219970703,36.22506260871887,77.46970318257809,37.071543000638485
[%],77.88548469543457,36.204659938812256,80.4031828418374,37.17498863115907
Gross,86.39894723892212,36.22601628303528,90.68532511591911,37.0668139308691
worth,86.25781536102295,37.41142153739929,90.64006805419922,38.23830643668771
1.,10.313714295625687,39.98059034347534,11.520204786211252,40.78094968572259
New,14.515739679336548,39.991337060928345,17.418453842401505,40.80506833270192
KID,17.867103219032288,39.988234639167786,20.125614665448666,40.7979903742671
CUDI,20.60854882001877,40.005722641944885,23.89652207493782,40.806333255022764
"""WZRD""",24.386407434940338,39.970457553863525,29.79152277112007,40.812044870108366
Rap,30.24373948574066,39.99614417552948,32.84028246998787,40.96517860889435
Hip,33.28009843826294,39.963558316230774,35.48532649874687,40.97584327682853
"2,00",40.769654512405396,39.98469114303589,43.717959709465504,40.876688342541456
each,46.718525886535645,39.970847964286804,49.86734800040722,40.776123106479645
"22,49",57.546138763427734,39.99041020870209,61.32740452885628,40.87127847597003
"44,98",67.80633330345154,39.99059498310089,71.63182534277439,40.872882679104805
10%,77.52595543861389,39.98541235923767,80.44471964240074,40.81131033599377
"49,48",86.83661818504333,39.98916745185852,90.66003002226353,40.86840879172087
Hop,14.508791267871857,41.16342067718506,17.172208055853844,42.174646724015474
Soul,17.609870433807373,41.148924827575684,20.473198033869267,41.977927275002
Music,20.954543352127075,41.13818407058716,24.745503440499306,41.99066748842597
Men's,25.18623173236847,41.14960730075836,29.075460135936737,41.99284603819251
Black,29.526671767234802,41.14673137664795,33.165787905454636,41.99163764715195
T-Shirt,14.425931870937347,42.34887957572937,18.953290581703186,43.19616770371795
Size,19.364993274211884,42.3226922750473,22.116200625896454,43.18683193996549
S,22.529464960098267,42.33000874519348,23.39982185512781,43.18364718928933
to,23.77304434776306,42.370015382766724,25.169526506215334,43.17762413993478
3XL,25.62134861946106,42.327892780303955,28.17778028547764,43.18715110421181
2.,10.225231945514679,44.863176345825195,11.48568233475089,45.71304498240352
boys,14.478915929794312,44.85122263431549,17.634138092398643,45.86863033473492
bogs,18.090620636940002,44.83853578567505,21.29993662238121,45.88433466851711
waterproof,21.70206606388092,44.84774172306061,29.173162579536438,45.87511559948325
boots,29.519513249397278,44.84594166278839,33.201511204242706,45.71766583248973
"1,00",40.82896113395691,44.863662123680115,43.7328914180398,45.784732699394226
each,46.696534752845764,44.863152503967285,49.88804720342159,45.703134033828974
"9,80",58.40877890586853,44.87808346748352,61.35105714201927,45.790138468146324
"9,80",68.65172982215881,44.882047176361084,71.61154728382826,45.79193480312824
10%,77.51891613006592,44.861483573913574,80.43060339987278,45.72419701144099
"10,78",86.91934943199158,44.86281871795654,90.66075906157494,45.78283056616783
youth,14.451578259468079,46.06696665287018,18.293892964720726,47.0739328302443
size,18.72093379497528,46.050405502319336,21.363159641623497,46.894518565386534
3,21.787886321544647,46.06309533119202,22.57080879062414,46.88439127057791
3.,10.247672349214554,48.579564690589905,11.499976832419634,49.414511024951935
Joma,14.340104162693024,48.59328269958496,17.798994481563568,49.59543999284506
Boys,18.282081186771393,48.593869805336,21.47868126630783,49.6002858504653
Youth,21.841084957122803,48.57337474822998,25.77962651848793,49.41580751910806
Gol-102,26.232486963272095,48.55518639087677,31.45945705473423,49.42514421418309
"2,00",40.757206082344055,48.58052730560303,43.738262727856636,49.492807406932116
each,46.68431580066681,48.57516586780548,49.88645985722542,49.39688201993704
"19,99",57.61464834213257,48.60348999500275,61.315903440117836,49.48029350489378
"39,98",67.83079504966736,48.590800166130066,71.62041552364826,49.4884411804378
10%,77.51625776290894,48.590028285980225,80.42305205017328,49.40907955169678
"43,98",86.82981729507446,48.59616160392761,90.65866805613041,49.492892157286406
Soccer,14.481203258037567,49.769216775894165,19.050229340791702,50.60852877795696
Cleats,19.440755248069763,49.760597944259644,23.620599880814552,50.6199836730957
Shoes,24.03874695301056,49.75031018257141,28.09573821723461,50.61381924897432
Size,28.548389673233032,49.717503786087036,31.342792697250843,50.622459035366774
3.5,31.713038682937622,49.74729120731354,33.7971406057477,50.61523066833615
White,14.456833899021149,50.93839764595032,18.357765674591064,51.787173096090555
Red,18.83631944656372,50.94601511955261,21.402073465287685,51.797789707779884
Futbol,21.883302927017212,50.94813108444214,26.03091672062874,51.784978713840246
NEW,26.492249965667725,50.960856676101685,29.64465096592903,51.782518066465855
4.,10.21428182721138,53.52436304092407,11.484576854854822,54.34108963236213
Nike,14.535452425479889,53.50757837295532,17.444197461009026,54.3381055817008
Oncore,17.904044687747955,53.50787043571472,22.732200473546982,54.341774713248014
High,23.20779114961624,53.500568866729736,26.208043284714222,54.51555335894227
Jr,26.554256677627563,53.542423248291016,27.692673355340958,54.520090483129025
6.0,28.078308701515198,53.50274443626404,30.167829990386963,54.34051379561424
(Kids),30.634242296218872,53.48286032676697,34.406035020947456,54.481787234544754
"4,00",40.76389670372009,53.51712107658386,43.733902648091316,54.42170035094023
each,46.69799506664276,53.51647734642029,49.88063536584377,54.33636214584112
"25,00",57.53558278083801,53.51920127868652,61.34605593979359,54.42815953865647
"100,00",67.01464653015137,53.517746925354004,71.6112095862627,54.41725365817547
10%,77.53841876983643,53.519684076309204,80.4320439696312,54.34605283662677
"110,00",86.04437708854675,53.51663827896118,90.6701147556305,54.413734562695026
Size,14.485745131969452,54.67631220817566,17.22245253622532,55.525233410298824
4Y,17.63680875301361,54.6879768371582,19.357343949377537,55.51526686176658
"Black,",19.811606407165527,54.679375886917114,23.75379353761673,55.63636012375355
"Red,",24.27360713481903,54.68651056289673,27.200696989893913,55.63695579767227
White,27.670827507972717,54.68727350234985,31.60475231707096,55.524088721722364
SUMMARY,8.077642321586609,58.634114265441895,19.77383866906166,59.809177462011576
VAT,38.799574971199036,62.24793195724487,41.91506467759609,63.120246399194
[%],42.243897914886475,62.24113702774048,44.85087990760803,63.20372447371483
Net,56.233203411102295,62.25348711013794,58.90444777905941,63.11802212148905
worth,59.31495428085327,62.256646156311035,63.756002113223076,63.10683125630021
VAT,71.90485000610352,62.27070093154907,75.02211909741163,63.10078427195549
Gross,81.76155090332031,62.26094365119934,86.03044301271439,63.11557302251458
worth,86.45873069763184,62.2480034828186,90.87936170399189,63.108798023313284
10%,40.41672348976135,64.80159163475037,43.345494382083416,65.67776650190353
"194,76",59.129518270492554,64.81956243515015,63.74984309077263,65.75498804450035
"19,48",71.19022607803345,64.8230791091919,74.934346601367,65.75544439256191
"214,24",86.22124791145325,64.80739116668701,90.90523645281792,65.74607901275158
Total,30.327308177947998,67.32498407363892,34.22501161694527,68.18735739216208
$,57.20016360282898,67.34362244606018,58.07677423581481,68.29893970862031
"194,76",58.040040731430054,67.31841564178467,63.70680332183838,68.29742398113012
"$ 19,48",69.3301796913147,67.30923652648926,74.91160035133362,68.30118987709284
"$ 214,24",84.36716198921204,67.31960773468018,90.86056053638458,68.29493129625916
